YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,144102.0435,55.0,1.0,1.0
2008,500,0.002,79536.18089999999,24.0,1.0,1.0
2008,500,0.002,77906.7585,60.0,1.0,1.0
2008,500,0.002,85544.67599999999,38.0,1.0,1.0
2008,500,0.002,20377.96389,27.0,1.0,2.0
2008,500,0.002,26987.3085,49.0,1.0,3.0
2008,500,0.002,276899.9691,57.0,1.0,6.0
2008,500,0.002,66195.285,79.0,1.0,6.0
2008,500,0.002,167138.00268,31.0,1.0,1.0
2008,500,0.002,93691.788,51.0,1.0,6.0
2008,500,0.002,108112.17624,48.0,1.0,1.0
2008,500,0.002,49564.99263,24.0,1.0,1.0
2008,500,0.002,37354.50852,40.0,1.0,1.0
2008,500,0.002,5499.3006,47.0,1.0,6.0
2008,500,0.002,85748.3538,63.0,1.0,1.0
2008,500,0.002,34217.8704,72.0,1.0,6.0
2008,500,0.002,19553.0688,40.0,1.0,2.0
2008,500,0.002,116096.346,58.0,1.0,1.0
2008,500,0.002,45827.505,43.0,1.0,1.0
2008,500,0.002,155406.1614,63.0,1.0,1.0
2008,500,0.002,86664.9039,39.0,1.0,1.0
2008,500,0.002,63140.118,35.0,1.0,1.0
2008,500,0.002,32079.2535,62.0,1.0,6.0
2008,500,0.002,87581.454,48.0,1.0,1.0
2008,500,0.002,65584.2516,83.0,1.0,6.0
2008,500,0.002,57844.4952,66.0,1.0,1.0
2008,500,0.002,88599.843,36.0,1.0,1.0
2008,500,0.002,43587.0492,79.0,1.0,6.0
2008,500,0.002,11772.57684,46.0,1.0,6.0
2008,500,0.002,35745.4539,83.0,1.0,6.0
2008,500,0.002,58048.173,74.0,1.0,6.0
2008,500,0.002,77092.0473,55.0,1.0,1.0
2008,500,0.002,198585.855,47.0,1.0,1.0
2008,500,0.002,33810.5148,36.0,1.0,1.0
2008,500,0.002,67315.5129,60.0,1.0,1.0
2008,500,0.002,27292.8252,38.0,1.0,1.0
2008,501,0.002,81471.12,51.0,8.0,1.0
2008,501,0.002,391061.376,67.0,1.0,1.0
2008,501,0.002,153776.739,29.0,1.0,1.0
2008,501,0.002,28718.5698,72.0,1.0,1.0
2008,501,0.002,29105.55762,79.0,1.0,6.0
2008,501,0.002,152758.35,44.0,1.0,1.0
2008,501,0.002,13595.49315,69.0,1.0,6.0
2008,501,0.002,106421.6505,23.0,1.0,6.0
2008,501,0.002,191762.6487,50.0,1.0,1.0
2008,501,0.002,30164.68218,49.0,2.0,3.0
2008,501,0.002,93691.788,38.0,1.0,1.0
2008,501,0.002,73731.3636,41.0,1.0,1.0
2008,501,0.002,145629.627,54.0,1.0,1.0
