store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1145357,2012,5851,5851,M,713.0,22.0,LA,41.0,FRANKLIN,628.0,MONROE-EL DORADO LA-AR
1145358,2012,5851,5851,M,300.0,13.0,GA,89.0,DE KALB,524.0,ATLANTA GA
1146074,2012,4904,4904,D,928.0,6.0,CA,59.0,ORANGE,803.0,LOS ANGELES CA
1146096,2012,6904,6904,M,431.0,39.0,OH,97.0,MADISON,535.0,COLUMBUS OH
1146305,2012,5851,5851,M,703.0,22.0,LA,109.0,TERREBONNE,622.0,NEW ORLEANS LA
1146789,2012,4901,4901,D,930.0,6.0,CA,111.0,VENTURA,803.0,LOS ANGELES CA
1146826,2012,5851,5851,M,38.0,33.0,NH,3.0,CARROLL,500.0,PORTLAND-AUBURN ME
1147315,2012,5851,5851,M,385.0,47.0,TN,35.0,CUMBERLAND,557.0,KNOXVILLE TN
1147388,2012,4904,4904,D,266.0,54.0,WV,67.0,NICHOLAS,564.0,CHARLESTON-HUNTINGTON WV
1147469,2012,6901,6901,M,917.0,6.0,CA,37.0,LOS ANGELES,803.0,LOS ANGELES CA
1147600,2012,839,839,F,193.0,42.0,PA,29.0,CHESTER,504.0,PHILADELPHIA PA
1148111,2012,6904,6904,M,490.0,26.0,MI,25.0,CALHOUN,563.0,GRAND RAPIDS-KALAMAZOO-BATTLE CREEK MI
